MLB Salary Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,HS,HS,HS,HS,HS,HS,HS,HS,HS,JC,JC,JC,JC,JC,JC,JC,JC,JC,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,,,,,HS,HS,HS,HS,HS,HS,HS,HS,HS,JC,JC,JC,JC,JC,JC,JC,JC,JC,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr
,,,,,,,,4,1,1st," $493,333 "," $3,166,667 ",  $-    ,  $-    ," $3,277,777 "," $4,551,851 ",  $-    ,  $-    ," $3,042,666 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,,4,1,1st," $561,905 "," $4,000,000 "," $6,555,560 "," $1,666,667 "," $3,277,777 "," $4,551,851 "," $922,222 "," $2,693,333 "," $3,042,666 "," $920,000 "," $91,667 "," $5,232,773 "," $1,258,333 "," $1,008,333 "," $56,972 "," $666,667 "," $970,370 "," $1,706,667 "," $420,833 "," $1,533,333 "," $13,333,333 "," $18,444,440 "," $6,820,000 "," $983,500 "," $1,965,000 "," $455,948 "," $2,272,936 "
,,,,,,,,4,2,2nd,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $2,693,333 "," $336,667 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $21,667 "," $13,333,333 "," $18,444,440 ",  $-    ,  $-    ,  $-    ,  $-    ," $2,272,936 ",,4,2,2nd," $493,333 "," $3,166,667 "," $1,258,333 "," $422,222 "," $759,877 "," $626,190 "," $470,915 "," $1,416,667 "," $492,436 "," $666,667 "," $7,576 "," $1,833,333 "," $151,111 "," $466,667 "," $19,457 "," $502,222 "," $536,471 "," $313,846 "," $138,889 "," $455,556 "," $2,444,444 "," $4,833,333 "," $622,667 "," $878,788 "," $377,660 "," $301,514 "," $1,288,333 "
,,,,,,,,4,3,3rd,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $3,222,222 ",  $-    ,  $-    ,  $-    ," $272,222 "," $753,333 ",,4,3,3rd," $205,625 "," $2,026,667 "," $688,170 "," $324,192 "," $361,905 "," $455,556 "," $354,127 "," $500,088 "," $471,412 "," $137,262 "," $6,667 "," $176,250 "," $14,815 "," $341,667 "," $18,676 "," $96,190 "," $206,377 "," $251,250 "," $86,420 "," $311,111 "," $1,224,242 "," $4,133,333 "," $305,641 "," $489,583 "," $289,105 "," $272,222 "," $1,210,292 "
,,,,,,,,4,4,4th,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $1,416,667 "," $404,762 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $4,133,333 ",  $-    ,  $-    ,  $-    ,  $-    ," $590,476 ",,4,4,4th," $139,231 "," $422,222 "," $500,000 "," $117,333 "," $241,410 "," $328,745 "," $340,972 "," $410,690 "," $404,762 "," $100,213 "," $1,200 ", $556 ," $7,154 "," $13,095 "," $9,153 "," $86,242 "," $116,771 "," $223,889 "," $84,411 "," $196,970 "," $93,918 "," $3,222,222 "," $299,140 "," $297,101 "," $239,872 "," $266,987 "," $753,333 "
,,,,,,,,4,5,5th,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $4,833,333 ",  $-    ,  $-    ,  $-    ,  $-    ," $1,288,333 ",,4,5,5th," $66,667 "," $172,252 "," $103,810 "," $28,571 "," $227,407 "," $260,870 "," $311,111 "," $401,667 "," $363,455 "," $40,693 ", $-   , $-   , $351 ," $7,018 "," $4,285 "," $60,402 "," $42,608 "," $176,758 "," $59,048 "," $180,556 "," $82,188 "," $389,877 "," $282,179 "," $230,000 "," $233,962 "," $130,575 "," $590,476 "
,,,,,,,,4,6,6th - 10th,  $-    ,  $-    ,  $-    ," $1,666,667 ",  $-    ," $37,778 "," $77,778 "," $401,667 "," $247,843 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $455,556 "," $2,444,444 ",  $-    ," $6,820,000 "," $230,000 "," $1,965,000 "," $14,603 "," $1,210,292 ",,4,6,6th - 10th," $59,524 "," $8,679 "," $64,815 "," $13,968 "," $151,600 "," $112,262 "," $248,788 "," $327,013 "," $336,667 "," $36,966 ", $-   , $-   , $-   ," $5,764 ", $952 ," $13,130 "," $35,166 "," $127,642 "," $53,922 "," $86,789 "," $37,862 "," $290,580 "," $281,818 "," $178,519 "," $221,930 "," $96,567 "," $436,693 "
,,,,,,,,4,7,11th - 15th,  $-    ," $2,026,667 ",  $-    ,  $-    ,  $-    ," $455,556 "," $227,778 "," $1,667 "," $308,176 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $878,788 "," $118,519 "," $77,130 "," $216,458 ",,4,7,11th - 15th," $30,144 "," $5,511 "," $19,444 "," $9,345 "," $146,375 "," $52,392 "," $237,172 "," $197,576 "," $308,176 "," $10,123 ", $-   , $-   , $-   ," $1,389 ", $826 ," $11,111 "," $34,122 "," $114,556 "," $32,292 "," $21,667 "," $33,684 "," $268,981 "," $243,590 "," $139,609 "," $206,944 "," $92,576 "," $248,586 "
,,,,,,,,4,8,16th - 20th,  $-    ," $4,000,000 ",  $-    ,  $-    , $333 ," $626,190 "," $248,788 "," $40,278 "," $363,455 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $1,533,333 ",  $-    ,  $-    ,  $-    ,  $-    ," $206,944 ", $256 ," $188,086 ",,4,8,16th - 20th," $21,111 "," $5,497 "," $1,609 "," $6,518 "," $145,214 "," $37,778 "," $227,778 "," $196,291 "," $247,843 "," $3,210 ", $-   , $-   , $-   ," $1,282 ", $-   ," $5,941 "," $28,894 "," $63,496 "," $28,903 "," $16,538 "," $19,469 "," $177,083 "," $144,444 "," $131,852 "," $156,000 "," $90,585 "," $226,215 "
,,,,,,,,4,9,End of 1st," $561,905 ",  $-    ," $500,000 "," $4,762 "," $361,905 "," $260,870 "," $922,222 "," $500,088 "," $471,412 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $489,583 ",  $-    ," $266,987 "," $226,215 ",,4,9,End of 1st," $18,095 "," $3,333 ", $254 ," $6,190 "," $133,633 "," $34,103 "," $151,429 "," $129,921 "," $238,415 ", $952 , $-   , $-   , $-   , $167 , $-   ," $1,550 "," $10,260 "," $56,944 "," $21,422 "," $5,333 "," $4,444 "," $90,476 "," $139,394 "," $109,751 "," $118,519 "," $81,762 "," $216,458 "
,,,,,,,,4,10,Beg of 2nd," $205,625 "," $1,667 ",  $-    ," $422,222 "," $759,877 "," $14,792 "," $340,972 "," $66,667 "," $492,436 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $502,222 "," $970,370 "," $1,706,667 ",  $-    ,  $-    ,  $-    ," $90,476 "," $139,394 "," $297,101 "," $239,872 "," $18,281 "," $248,586 ",,4,10,Beg of 2nd," $5,993 "," $2,083 ", $-   ," $4,762 "," $109,091 "," $27,658 "," $129,772 "," $100,207 "," $227,930 ", $-   , $-   , $-   , $-   , $157 , $-   , $273 ," $3,431 "," $40,199 "," $8,411 "," $1,587 "," $3,829 "," $30,000 "," $80,444 "," $84,881 "," $113,669 "," $77,130 "," $213,446 "
,,,,,,,,4,11,End of 2nd," $59,524 ",  $-    ,  $-    ,  $-    ," $227,407 "," $12,952 "," $354,127 "," $410,690 "," $238,415 ",  $-    ,  $-    ,  $-    ,  $-    ," $341,667 ",  $-    ,  $-    ,  $-    ," $56,944 "," $420,833 ",  $-    ,  $-    , $667 ," $622,667 "," $983,500 ", $303 ," $455,948 "," $436,693 ",,4,11,End of 2nd," $3,398 "," $1,667 ", $-   ," $4,545 "," $83,099 "," $27,424 "," $118,596 "," $78,164 "," $191,177 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,333 "," $24,807 "," $3,684 ", $530 ," $1,000 "," $25,205 "," $40,929 "," $83,333 "," $105,170 "," $58,296 "," $188,086 "
,,,,,,,,4,12,3rd Round," $66,667 "," $422,222 ",  $-    ," $13,968 "," $241,410 "," $27,424 "," $470,915 "," $327,013 "," $227,930 "," $666,667 ",  $-    ,  $-    ," $151,111 ",  $-    ,  $-    ,  $-    ," $536,471 "," $313,846 "," $86,420 ",  $-    ," $1,000 ",  $-    ," $282,179 "," $178,519 "," $156,000 "," $301,514 "," $213,446 ",,4,12,3rd Round," $3,391 ", $729 , $-   , $-   ," $48,973 "," $26,175 "," $94,483 "," $70,322 "," $106,139 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,039 "," $21,589 "," $1,751 ", $392 , $370 ," $15,789 "," $28,551 "," $55,319 "," $100,493 "," $56,748 "," $141,619 "
,,,,,,,,4,13,4th Round,  $-    ,  $-    ," $6,555,560 ",  $-    ," $145,214 "," $328,745 "," $86,444 "," $197,576 "," $191,177 "," $920,000 ",  $-    ,  $-    ," $1,258,333 ",  $-    ,  $-    ,  $-    ,  $-    ," $114,556 "," $59,048 ",  $-    ,  $-    ,  $-    ," $28,551 "," $83,333 "," $289,105 "," $96,567 "," $108,471 ",,4,13,4th Round," $2,963 ", $-   , $-   , $-   ," $29,308 "," $19,457 "," $86,444 "," $66,667 "," $94,882 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $21,582 "," $1,655 ", $96 , $-   ," $13,793 "," $22,469 "," $33,136 "," $55,105 "," $48,830 "," $136,194 "
,,,,,,,,4,14,5th Round," $18,095 ",  $-    ," $1,258,333 ",  $-    ," $146,375 ",  $-    ," $237,172 "," $196,291 "," $106,139 ",  $-    ,  $-    ,  $-    ,  $-    ," $1,008,333 ",  $-    ,  $-    ,  $-    ," $127,642 "," $138,889 "," $180,556 ",  $-    ," $177,083 "," $299,140 "," $3,333 "," $233,962 "," $58,296 "," $119,895 ",,4,14,5th Round," $2,254 ", $-   , $-   , $-   ," $15,677 "," $14,792 "," $84,930 "," $62,045 "," $91,461 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $19,720 ", $769 , $-   , $-   ," $7,937 "," $6,610 "," $17,984 "," $33,430 "," $44,011 "," $123,567 "
,,,,,,,,4,15,6th Round," $2,963 ",  $-    ,  $-    ,  $-    ," $1,379 ", $103 ," $151,429 "," $129,921 "," $61,862 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $32,292 "," $196,970 ",  $-    ," $30,000 "," $243,590 "," $139,609 "," $221,930 "," $92,576 "," $123,567 ",,4,15,6th Round," $1,034 ", $-   , $-   , $-   ," $7,143 "," $12,952 "," $77,778 "," $45,333 "," $71,948 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $16,213 ", $278 , $-   , $-   ," $6,393 "," $5,616 "," $4,749 "," $18,250 "," $34,099 "," $119,895 "
,,,,,,,,4,16,7th Round,  $-    ," $3,333 ",  $-    ,  $-    ," $109,091 "," $112,262 "," $311,111 "," $45,333 "," $94,882 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $666,667 "," $206,377 "," $223,889 ", $769 ,  $-    ," $33,684 ",  $-    ," $144,444 "," $131,852 "," $377,660 "," $130,575 "," $136,194 ",,4,16,7th Round, $-   , $-   , $-   , $-   ," $5,854 "," $8,800 "," $60,972 "," $43,134 "," $61,862 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $4,947 ", $77 , $-   , $-   ," $1,972 "," $1,450 "," $4,049 "," $14,708 "," $30,636 "," $108,471 "
,,,,,,,,4,17,8th Round," $21,111 ",  $-    ,  $-    ," $28,571 ", $238 ," $19,457 "," $118,596 "," $16,978 "," $32,578 ",  $-    ,  $-    ," $5,232,773 ",  $-    ,  $-    ,  $-    ," $96,190 "," $1,333 "," $251,250 "," $3,684 "," $311,111 "," $1,224,242 "," $268,981 "," $281,818 "," $109,751 "," $2,513 "," $90,585 "," $141,619 ",,4,17,8th Round, $-   , $-   , $-   , $-   ," $1,389 "," $5,185 "," $38,194 "," $40,278 "," $54,601 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $847 ," $1,370 "," $3,333 "," $2,513 "," $30,317 "," $92,704 "
,,,,,,,,4,18,9th Round,  $-    ,  $-    ,  $-    ,  $-    ," $151,600 "," $3,901 "," $1,975 "," $22,222 "," $25,432 ", $952 ," $91,667 ",  $-    ,  $-    ," $466,667 ",  $-    ," $11,111 ",  $-    ," $63,496 "," $53,922 ", $392 , $370 ," $290,580 "," $305,641 "," $84,881 "," $105,170 "," $48,830 "," $92,704 ",,4,18,9th Round, $-   , $-   , $-   , $-   ," $1,379 "," $3,901 "," $21,069 "," $39,192 "," $39,341 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $667 , $476 ," $3,301 "," $1,452 "," $24,171 "," $58,671 "
,,,,,,,,4,19,10th Round,  $-    ,  $-    ,  $-    ," $117,333 "," $7,143 "," $8,800 "," $94,483 "," $1,847 "," $20,570 ",  $-    ,  $-    ," $1,833,333 ",  $-    ,  $-    ,  $-    ,  $-    ," $116,771 "," $176,758 ", $278 ," $5,333 "," $37,862 "," $389,877 "," $80,444 "," $4,749 ",  $-    ," $44,011 "," $58,671 ",,4,19,10th Round, $-   , $-   , $-   , $-   , $333 , $472 ," $13,260 "," $22,222 "," $32,578 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $2,622 ", $303 ," $18,281 "," $53,969 "
,,,,,,,,4,20,11th - 15th Round," $139,231 "," $172,252 ",  $-    ," $4,545 "," $133,633 "," $52,392 "," $84,930 "," $100,207 "," $91,461 ",  $-    ," $6,667 ",  $-    ,  $-    ," $1,389 "," $18,676 ", $273 ," $42,608 "," $21,589 "," $1,655 "," $86,789 "," $93,918 "," $15,789 "," $40,929 "," $17,984 "," $55,105 "," $81,762 "," $53,969 ",,4,20,11th - 15th Round, $-   , $-   , $-   , $-   , $238 , $299 ," $6,944 "," $16,978 "," $25,432 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,302 ", $-   ," $14,603 "," $37,703 "
,,,,,,,,4,21,16th - 20th Round," $5,993 ",  $-    ," $19,444 "," $324,192 "," $83,099 "," $26,175 "," $129,772 "," $70,322 "," $71,948 "," $10,123 "," $7,576 ",  $-    , $351 ," $13,095 "," $19,457 "," $60,402 "," $10,260 "," $19,720 "," $8,411 "," $16,538 "," $4,444 "," $7,937 "," $5,616 "," $33,136 "," $18,250 "," $30,317 "," $21,399 ",,4,21,16th - 20th Round, $-   , $-   , $-   , $-   , $-   , $103 ," $1,975 "," $5,790 "," $20,570 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $8,282 "," $35,889 "
,,,,,,,,4,22,21st - 25th Round," $3,398 "," $8,679 "," $103,810 ",  $-    ," $29,308 "," $5,185 "," $6,944 "," $39,192 "," $20,488 "," $100,213 "," $1,200 ",  $-    ,  $-    ," $1,282 ", $952 ," $5,941 "," $28,894 "," $21,582 "," $28,903 ", $96 ," $19,469 "," $6,393 "," $1,450 "," $3,301 "," $33,430 "," $34,099 "," $21,311 ",,4,22,21st - 25th Round, $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,847 "," $20,488 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $256 ," $21,399 "
,,,,,,,,4,23,26th - 30th Round," $1,034 "," $5,497 "," $1,609 ",  $-    ," $15,677 "," $34,103 "," $60,972 "," $62,045 "," $39,341 "," $137,262 ",  $-    , $556 ," $14,815 ", $157 , $826 ," $86,242 "," $35,166 "," $40,199 "," $21,422 "," $1,587 ",  $-    ," $13,793 "," $6,610 "," $4,049 "," $100,493 "," $56,748 "," $37,703 ",,4,23,26th - 30th Round, $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,667 "," $19,046 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $21,311 "
,,,,,,,,4,24,31st - 35th Round," $2,254 "," $2,083 "," $64,815 "," $9,345 "," $5,854 ", $472 ," $13,260 "," $43,134 "," $19,046 "," $3,210 ",  $-    ,  $-    ,  $-    ," $7,018 "," $9,153 "," $13,130 "," $1,039 "," $4,947 "," $84,411 ",  $-    ," $3,829 "," $1,972 ", $476 ," $2,622 "," $1,452 "," $24,171 "," $17,655 ",,4,24,31st - 35th Round, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $14,694 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $17,655 "
,,,,,,,,4,25,36th - 40th Round," $3,391 ", $729 ," $688,170 "," $6,190 "," $48,973 ", $299 ," $38,194 "," $78,164 "," $54,601 "," $40,693 ",  $-    ,  $-    ,  $-    , $167 ," $56,972 "," $1,550 "," $3,431 "," $16,213 ", $77 , $530 ," $82,188 "," $25,205 "," $22,469 "," $1,302 "," $14,708 "," $8,282 "," $11,490 ",,4,25,36th - 40th Round, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $11,490 "
,,,,,,,,4,26,41st Round +," $30,144 "," $5,511 ", $254 ," $6,518 "," $1,389 "," $27,658 "," $21,069 "," $5,790 "," $14,694 "," $36,966 ",  $-    ," $176,250 "," $7,154 "," $5,764 "," $4,285 ",  $-    ," $34,122 "," $24,807 "," $1,751 ",  $-    ,  $-    , $847 ," $1,370 "," $55,319 "," $113,669 "," $30,636 "," $35,889 ",,4,26,41st Round +, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
,,,,,,,,4,,,,,,,,,,," $63,026 ",,,,,,,,," $34,031 ",,,,,,,,," $66,965 ",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,YEAR = ,5,  High School  ,,,,,,,,,  JUCO  ,,,,,,,,,  Undergrad  ,,,,,,,,,,5,YEAR = ,5,  High School  ,,,,,,,,,  JUCO  ,,,,,,,,,  Undergrad  ,,,,,,,,
,,,,,,,,5,,MLB $ Percentile,  C  ,  1B-DH  ,  2B  ,  3B  ,  SS  ,  OF  ,  LHP  ,  RHP  ,  ALL  ,  C  ,  1B-DH  ,  2B  ,  3B  ,  SS  ,  OF  ,  LHP  ,  RHP  ,  ALL  ,  C  ,  1B-DH  ,  2B  ,  3B  ,  SS  ,  OF  ,  LHP  ,  RHP  ,  ALL  ,,5,,MLB $ Percentile,  C  ,  1B-DH  ,  2B  ,  3B  ,  SS  ,  OF  ,  LHP  ,  RHP  ,  ALL  ,  C  ,  1B-DH  ,  2B  ,  3B  ,  SS  ,  OF  ,  LHP  ,  RHP  ,  ALL  ,  C  ,  1B-DH  ,  2B  ,  3B  ,  SS  ,  OF  ,  LHP  ,  RHP  ,  ALL  
,,,,,,,,5,1,1st,  $-    ," $1,700,000 ",  $-    ,  $-    ," $1,266,667 "," $2,344,445 ",  $-    ,  $-    ," $1,380,000 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,,5,1,1st," $490,000 "," $3,500,000 "," $3,100,000 "," $1,333,333 "," $1,266,667 "," $2,344,445 "," $566,667 "," $326,378 "," $1,380,000 "," $237,037 "," $23,158 "," $1,020,000 "," $2,250,000 "," $1,350,000 "," $75,091 "," $448,000 "," $264,706 "," $210,000 "," $377,500 "," $920,000 "," $8,000,000 "," $7,866,668 "," $4,586,667 "," $628,667 "," $981,818 "," $342,500 "," $1,220,513 "
,,,,,,,,5,2,2nd,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $8,000,000 "," $7,866,668 ",  $-    ,  $-    ,  $-    ,  $-    ," $1,220,513 ",,5,2,2nd," $201,250 "," $1,700,000 "," $620,000 "," $483,333 "," $592,500 "," $386,154 "," $351,806 "," $286,000 "," $380,468 "," $97,197 "," $10,909 "," $130,000 "," $32,231 "," $493,000 "," $17,556 "," $420,000 "," $118,182 "," $155,172 "," $209,600 "," $453,333 "," $1,533,333 "," $3,100,000 "," $440,000 "," $530,000 "," $350,917 "," $300,000 "," $855,556 "
,,,,,,,,5,3,3rd,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $3,100,000 ",  $-    ,  $-    ,  $-    ," $300,000 "," $571,429 ",,5,3,3rd," $106,989 "," $1,410,000 "," $459,596 "," $200,000 "," $252,857 "," $379,795 "," $302,632 "," $242,357 "," $355,064 "," $65,351 "," $8,933 "," $42,667 "," $22,222 "," $450,000 "," $13,559 "," $68,571 "," $96,000 "," $142,105 "," $66,857 "," $242,615 "," $640,000 "," $3,000,000 "," $411,652 "," $325,000 "," $256,273 "," $190,292 "," $790,654 "
,,,,,,,,5,4,4th,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $3,000,000 ",  $-    ,  $-    ,  $-    ,  $-    ," $461,538 ",,5,4,4th," $40,000 "," $365,778 "," $108,000 "," $199,873 "," $163,188 "," $185,238 "," $296,909 "," $215,667 "," $329,900 "," $19,308 ", $308 , $-   ," $14,815 "," $17,000 "," $7,505 "," $58,769 "," $36,249 "," $121,579 "," $59,259 "," $113,043 "," $102,222 "," $2,700,000 "," $343,867 "," $301,739 "," $201,373 "," $148,862 "," $571,429 "
,,,,,,,,5,5,5th,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $2,700,000 ",  $-    ,  $-    ,  $-    ,  $-    ," $855,556 ",,5,5,5th," $36,343 "," $90,324 "," $83,750 "," $111,111 "," $161,692 "," $150,456 "," $205,931 "," $160,303 "," $242,000 "," $16,686 ", $45 , $-   ," $9,333 "," $10,359 "," $4,044 "," $48,519 "," $23,352 "," $119,412 "," $47,059 "," $46,804 "," $65,095 "," $267,231 "," $282,258 "," $289,111 "," $171,500 "," $109,294 "," $461,538 "
,,,,,,,,5,6,6th - 10th,  $-    ,  $-    ,  $-    ," $1,333,333 ",  $-    ," $37,000 "," $195,000 "," $215,667 "," $175,347 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $453,333 "," $1,533,333 ",  $-    ," $4,586,667 "," $289,111 "," $981,818 "," $20,000 "," $790,654 ",,5,6,6th - 10th," $32,418 "," $80,000 "," $32,571 "," $59,429 "," $140,575 "," $59,164 "," $196,000 "," $152,718 "," $175,347 "," $2,000 ", $-   , $-   , $880 ," $9,390 ", $561 ," $30,000 "," $15,066 "," $75,000 "," $44,941 "," $40,000 "," $36,500 "," $224,714 "," $224,000 "," $218,667 "," $150,075 "," $91,276 "," $328,778 "
,,,,,,,,5,7,11th - 15th," $15,000 "," $1,410,000 ",  $-    ,  $-    ,  $-    ," $386,154 "," $196,000 "," $25,000 "," $242,000 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $52,000 "," $43,000 "," $530,000 "," $144,444 "," $109,294 "," $166,519 ",,5,7,11th - 15th," $15,385 "," $7,882 "," $2,333 "," $27,636 "," $137,487 "," $51,506 "," $195,000 "," $140,333 "," $157,707 "," $1,667 ", $-   , $-   , $211 ," $2,424 ", $554 ," $17,459 "," $11,289 "," $74,667 "," $15,556 "," $8,198 "," $28,625 "," $209,091 "," $181,500 "," $169,785 "," $144,444 "," $78,504 "," $304,212 "
,,,,,,,,5,8,16th - 20th,  $-    ," $3,500,000 ",  $-    ," $200,000 ",  $-    ," $379,795 "," $296,909 "," $286,000 "," $355,064 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $920,000 ",  $-    ,  $-    ,  $-    ,  $-    ," $171,500 ",  $-    ," $128,038 ",,5,8,16th - 20th," $15,000 "," $5,615 "," $1,047 "," $18,250 "," $86,444 "," $48,635 "," $183,478 "," $73,878 "," $136,792 "," $1,396 ", $-   , $-   , $-   ," $1,878 ", $364 ," $13,161 "," $8,000 "," $63,436 "," $6,718 "," $5,882 "," $22,333 "," $205,556 "," $172,800 "," $84,328 "," $115,358 "," $72,313 "," $171,059 "
